Protein_accession	uni_ipro_access	uni_ipro_desc	uni_GO_annot
CopciAB_1001128.T0	IPR004045__IPR036249__IPR036282__IPR010987__IPR040079	Glutathione S-transferase, N-terminal__Thioredoxin-like superfamily__Glutathione S-transferase, C-terminal domain superfamily__Glutathione S-transferase, C-terminal-like__Glutathione transferase family	-__-__-__-__-
CopciAB_1001131.T0	IPR021109__IPR019103__IPR015940__IPR000626__IPR009060__IPR029071__IPR033882	Aspartic peptidase domain superfamily__Aspartic peptidase, DDI1-type__Ubiquitin-associated domain__Ubiquitin-like domain__UBA-like superfamily__Ubiquitin-like domain superfamily__DNA damage inducible protein 1 ubiquitin-like domain	-__GO:0004190|GO:0006508__-__GO:0005515__GO:0005515__-__-
CopciAB_1001132.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_1001140.T0	IPR035195	ERMES regulator 1	GO:0007008
CopciAB_1001142.T0	IPR044432__IPR001214__IPR046341	Set10/Efm1, SET domain__SET domain__SET domain superfamily	GO:0016279|GO:0018022__GO:0005515__-
CopciAB_1001143.T0	IPR002110__IPR030395__IPR036770__IPR017946__IPR004331	Ankyrin repeat__Glycerophosphodiester phosphodiesterase domain__Ankyrin repeat-containing domain superfamily__PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily__SPX domain	GO:0005515__GO:0006629|GO:0008081__-__GO:0006629|GO:0008081__-
CopciAB_1001149.T0	IPR000554	Ribosomal protein S7e	GO:0003735|GO:0005840|GO:0006412
CopciAB_1001154.T0	IPR002466	Adenosine deaminase/editase	GO:0003723|GO:0004000|GO:0006396
CopciAB_1001164.T0	IPR012677__IPR035979__IPR000504	Nucleotide-binding alpha-beta plait domain superfamily__RNA-binding domain superfamily__RNA recognition motif domain	-__GO:0003676__GO:0003723
CopciAB_1001165.T0	IPR010987__IPR040079__IPR004045__IPR004046__IPR036282__IPR036249	Glutathione S-transferase, C-terminal-like__Glutathione transferase family__Glutathione S-transferase, N-terminal__Glutathione S-transferase, C-terminal__Glutathione S-transferase, C-terminal domain superfamily__Thioredoxin-like superfamily	-__-__-__-__-__-
CopciAB_1001166.T0	IPR007135	Ubiquitin-like-conjugating enzyme Atg3/Atg10	GO:0019787
CopciAB_1001167.T0	IPR019013	Vacuolar ATPase assembly integral membrane protein Vma21	GO:0070072
CopciAB_1001170.T0	IPR007277	Svp26/Tex261	GO:0006888|GO:0016020|GO:0097020
CopciAB_1001172.T0	IPR000426__IPR029055__IPR023332__IPR001353__IPR035144	Proteasome alpha-subunit, N-terminal domain__Nucleophile aminohydrolases, N-terminal__Proteasome alpha-type subunit__Proteasome, subunit alpha/beta__Proteasome subunit alpha 1	GO:0006511|GO:0019773__-__-__GO:0005839|GO:0051603__GO:0019773
CopciAB_1001173.T0	IPR002673	Ribosomal protein L29e	GO:0003735|GO:0005840|GO:0006412
CopciAB_1001180.T0	IPR036656__IPR008027	Cytochrome b-c1 complex subunit 9 superfamily__Cytochrome b-c1 complex subunit 9	GO:0005750|GO:0006122__GO:0005750|GO:0006122
CopciAB_1001182.T0	IPR011009__IPR004166	Protein kinase-like domain superfamily__MHCK/EF2 kinase	-__GO:0004674|GO:0005524|GO:0006468
CopciAB_1001191.T0	IPR001878__IPR032567__IPR005162__IPR036875	Zinc finger, CCHC-type__LDOC1-related__Retrotransposon gag domain__Zinc finger, CCHC-type superfamily	GO:0003676|GO:0008270__-__-__GO:0003676|GO:0008270
CopciAB_1001193.T0	IPR005162	Retrotransposon gag domain	-
CopciAB_1001196.T0	IPR002293	Amino acid/polyamine transporter I	GO:0016020|GO:0022857|GO:0055085
CopciAB_1001213.T0	IPR032710	NTF2-like domain superfamily	-
CopciAB_1001215.T0	IPR001878__IPR005162__IPR036875	Zinc finger, CCHC-type__Retrotransposon gag domain__Zinc finger, CCHC-type superfamily	GO:0003676|GO:0008270__-__GO:0003676|GO:0008270
CopciAB_1001221.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_1001223.T0	IPR046521	Protein of unknown function DUF6698	-
CopciAB_1001229.T0	IPR013087__IPR041078	Zinc finger C2H2-type__Plavaka transposase	-__-
CopciAB_1001233.T0	IPR029057__IPR000836	Phosphoribosyltransferase-like__Phosphoribosyltransferase domain	-__-
CopciAB_1001234.T0	IPR036397__IPR002156__IPR012337	Ribonuclease H superfamily__Ribonuclease H domain__Ribonuclease H-like superfamily	GO:0003676__GO:0003676|GO:0004523__-
CopciAB_1001251.T0	IPR032567	LDOC1-related	-
CopciAB_1001261.T0	IPR032567__IPR001878__IPR005162__IPR036875	LDOC1-related__Zinc finger, CCHC-type__Retrotransposon gag domain__Zinc finger, CCHC-type superfamily	-__GO:0003676|GO:0008270__-__GO:0003676|GO:0008270
CopciAB_1001263.T0	IPR008922	Di-copper centre-containing domain superfamily	-
CopciAB_1001265.T0	IPR008922__IPR002227	Di-copper centre-containing domain superfamily__Tyrosinase copper-binding domain	-__GO:0016491
CopciAB_1001273.T0	IPR005162	Retrotransposon gag domain	-
CopciAB_1001274.T0	IPR005162__IPR032567	Retrotransposon gag domain__LDOC1-related	-__-
CopciAB_1001285.T0	IPR002110__IPR027417__IPR036770__IPR047162	Ankyrin repeat__P-loop containing nucleoside triphosphate hydrolase__Ankyrin repeat-containing domain superfamily__Ankyrin repeat and SAM domain-containing protein 3	GO:0005515__-__-__-
CopciAB_1001301.T0	IPR006086__IPR037314__IPR006084__IPR006085__IPR022040__IPR022039__IPR029060	XPG-I domain__Post-transcriptional regulator MKT1, H3TH domain__XPG/Rad2 endonuclease__XPG, N-terminal__Post-transcriptional regulator MKT1, N-terminal__Post-transcriptional regulator MKT1, C-terminal__PIN-like domain superfamily	GO:0004518__-__-__GO:0004518__-__-__-
CopciAB_1001315.T0	IPR000182__IPR016181	GNAT domain__Acyl-CoA N-acyltransferase	GO:0016747__-
CopciAB_1001318.T0	IPR001951__IPR009072__IPR004823__IPR019809	Histone H4__Histone-fold__TATA box binding protein associated factor (TAF), histone-like fold domain__Histone H4, conserved site	GO:0003677|GO:0030527__GO:0046982__-__GO:0000786|GO:0003677
CopciAB_1001319.T0	IPR000164__IPR009072__IPR007125	Histone H3/CENP-A__Histone-fold__Histone H2A/H2B/H3	GO:0000786|GO:0003677|GO:0030527__GO:0046982__GO:0003677
CopciAB_1001344.T0	IPR036188__IPR007867	FAD/NAD(P)-binding domain superfamily__Glucose-methanol-choline oxidoreductase, C-terminal	-__GO:0016614
CopciAB_1001351.T0	IPR004875	DDE superfamily endonuclease domain	GO:0003676
CopciAB_1001361.T0	IPR004875	DDE superfamily endonuclease domain	GO:0003676
CopciAB_1001363.T0	IPR001878	Zinc finger, CCHC-type	GO:0003676|GO:0008270
CopciAB_1001364.T0	IPR045358__IPR032567	Ty3 transposon capsid-like protein__LDOC1-related	-__-
CopciAB_1001369.T0	IPR006179__IPR029052	5'-Nucleotidase/apyrase__Metallo-dependent phosphatase-like	GO:0009166|GO:0016787__-
CopciAB_1001373.T0	IPR021013	ATPase, vacuolar ER assembly factor, Vma12	GO:0070072
CopciAB_1001374.T0	IPR002227__IPR008922	Tyrosinase copper-binding domain__Di-copper centre-containing domain superfamily	GO:0016491__-
CopciAB_1001380.T0	IPR036188__IPR002938	FAD/NAD(P)-binding domain superfamily__FAD-binding domain	-__GO:0071949
CopciAB_1001389.T0	IPR004045	Glutathione S-transferase, N-terminal	-
CopciAB_1001414.T0	IPR036388__IPR036390__IPR008570__IPR014041	Winged helix-like DNA-binding domain superfamily__Winged helix DNA-binding domain superfamily__ESCRT-II complex, Vps25 subunit__ESCRT-II complex, Vps25 subunit, N-terminal winged helix	-__-__GO:0000814|GO:0071985__-
CopciAB_1001425.T0	IPR032567__IPR005162	LDOC1-related__Retrotransposon gag domain	-__-
CopciAB_1001429.T0	IPR021109	Aspartic peptidase domain superfamily	-
CopciAB_1001430.T0	IPR036875	Zinc finger, CCHC-type superfamily	GO:0003676|GO:0008270
CopciAB_1001431.T0	IPR040976__IPR011009	Fungal-type protein kinase__Protein kinase-like domain superfamily	-__-
CopciAB_1001434.T0	IPR024983__IPR011990	CHAT domain__Tetratricopeptide-like helical domain superfamily	-__GO:0005515
CopciAB_1001438.T0	IPR013924	Ribonuclease H2, subunit C	GO:0006401|GO:0032299
CopciAB_1001445.T0	IPR002125__IPR006262__IPR016192__IPR016193	Cytidine and deoxycytidylate deaminase domain__Cytidine deaminase, homotetrameric__APOBEC/CMP deaminase, zinc-binding__Cytidine deaminase-like	-__GO:0004126|GO:0008270|GO:0009972__GO:0008270|GO:0016787__GO:0003824
CopciAB_1001448.T0	IPR002110__IPR036770	Ankyrin repeat__Ankyrin repeat-containing domain superfamily	GO:0005515__-
CopciAB_1001463.T0	IPR002893	Zinc finger, MYND-type	-
CopciAB_1001465.T0	IPR011009	Protein kinase-like domain superfamily	-
CopciAB_1001489.T0	IPR009057__IPR004875__IPR007889	Homeobox-like domain superfamily__DDE superfamily endonuclease domain__DNA binding HTH domain, Psq-type	-__GO:0003676__GO:0003677
CopciAB_1001496.T0	IPR005162__IPR032567__IPR036875	Retrotransposon gag domain__LDOC1-related__Zinc finger, CCHC-type superfamily	-__-__GO:0003676|GO:0008270
CopciAB_1001497.T0	IPR036875__IPR001878	Zinc finger, CCHC-type superfamily__Zinc finger, CCHC-type	GO:0003676|GO:0008270__GO:0003676|GO:0008270
CopciAB_1001501.T0	IPR027417__IPR003395	P-loop containing nucleoside triphosphate hydrolase__RecF/RecN/SMC, N-terminal	-__-
CopciAB_1001502.T0	IPR019341	Alpha/gamma-adaptin-binding protein p34	-
CopciAB_1001503.T0	IPR036850__IPR034907	Nucleoside diphosphate kinase-like domain superfamily__Nucleoside diphosphate kinase-like domain	-__-
CopciAB_1001505.T0	IPR036047__IPR001810	F-box-like domain superfamily__F-box domain	GO:0005515__GO:0005515
CopciAB_1001506.T0	IPR001878__IPR036875__IPR032567	Zinc finger, CCHC-type__Zinc finger, CCHC-type superfamily__LDOC1-related	GO:0003676|GO:0008270__GO:0003676|GO:0008270__-
CopciAB_1001530.T0	IPR011990__IPR024983	Tetratricopeptide-like helical domain superfamily__CHAT domain	GO:0005515__-
CopciAB_1001536.T0	IPR002108__IPR029006__IPR017904	Actin-depolymerising factor homology domain__ADF-H/Gelsolin-like domain superfamily__ADF/Cofilin	GO:0003779__-__GO:0015629|GO:0030042
CopciAB_1001547.T0	IPR018260__IPR005721__IPR001063__IPR036394	Ribosomal protein L22/L17, conserved site__Ribosomal protein L22/L17, eukaryotic/archaeal__Ribosomal protein L22/L17__Ribosomal protein L22/L17 superfamily	GO:0003735|GO:0005840|GO:0006412__GO:0003735|GO:0006412|GO:0015934__GO:0003735|GO:0005840|GO:0006412__GO:0003735|GO:0005840|GO:0006412
CopciAB_1001562.T0	IPR019083__IPR039603	IGR protein motif__Protein Fyv4	-__-
CopciAB_1001568.T0	IPR008979__IPR016590__IPR029411	Galactose-binding-like domain superfamily__Rhamnogalacturonase B__Rhamnogalacturonan lyase, domain III	-__GO:0005975|GO:0016837__-
CopciAB_1001569.T0	IPR011146__IPR036265__IPR001310	HIT-like domain__HIT-like superfamily__Histidine triad (HIT) protein	GO:0003824__-__-
CopciAB_1001574.T0	IPR007502__IPR001650__IPR011709__IPR027417__IPR002464__IPR014001__IPR011545	Helicase-associated domain__Helicase, C-terminal__DEAD-box helicase, OB fold__P-loop containing nucleoside triphosphate hydrolase__DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site__Helicase superfamily 1/2, ATP-binding domain__DEAD/DEAH box helicase domain	GO:0004386__-__-__-__-__-__GO:0003676|GO:0005524
CopciAB_1001581.T0	IPR041078	Plavaka transposase	-
CopciAB_1001582.T0	IPR046521	Protein of unknown function DUF6698	-
CopciAB_1001584.T0	IPR001251__IPR036865	CRAL-TRIO lipid binding domain__CRAL-TRIO lipid binding domain superfamily	-__-
CopciAB_1001598.T0	IPR039542__IPR045888__IPR012936	Endoplasmic reticulum vesicle transporter, N-terminal__Endoplasmic reticulum vesicle transporter__Endoplasmic reticulum vesicle transporter, C-terminal	-__-__-
CopciAB_1001601.T0	IPR036291__IPR002347	NAD(P)-binding domain superfamily__Short-chain dehydrogenase/reductase SDR	-__-
CopciAB_1001602.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_1001603.T0	IPR000727__IPR045242__IPR006011__IPR006012__IPR010989	Target SNARE coiled-coil homology domain__Syntaxin__Syntaxin, N-terminal domain__Syntaxin/epimorphin, conserved site__SNARE	-__-__GO:0016020__GO:0005484|GO:0006886|GO:0016020__GO:0016020|GO:0016192
CopciAB_1001610.T0	IPR001878__IPR032567__IPR036875	Zinc finger, CCHC-type__LDOC1-related__Zinc finger, CCHC-type superfamily	GO:0003676|GO:0008270__-__GO:0003676|GO:0008270
CopciAB_1001612.T0	IPR036188__IPR012132__IPR007867	FAD/NAD(P)-binding domain superfamily__Glucose-methanol-choline oxidoreductase__Glucose-methanol-choline oxidoreductase, C-terminal	-__GO:0050660__GO:0016614
CopciAB_1001621.T0	IPR001878__IPR036875__IPR005162__IPR032567	Zinc finger, CCHC-type__Zinc finger, CCHC-type superfamily__Retrotransposon gag domain__LDOC1-related	GO:0003676|GO:0008270__GO:0003676|GO:0008270__-__-
CopciAB_1001644.T0	IPR005162__IPR032567	Retrotransposon gag domain__LDOC1-related	-__-
CopciAB_1001646.T0	IPR005162	Retrotransposon gag domain	-
CopciAB_1001647.T0	IPR005162__IPR032567	Retrotransposon gag domain__LDOC1-related	-__-
CopciAB_1001648.T0	IPR001680__IPR020472__IPR015943__IPR036322	WD40 repeat__G-protein beta WD-40 repeat__WD40/YVTN repeat-like-containing domain superfamily__WD40-repeat-containing domain superfamily	GO:0005515__-__GO:0005515__GO:0005515
CopciAB_1001659.T0	IPR001810__IPR036047	F-box domain__F-box-like domain superfamily	GO:0005515__GO:0005515
CopciAB_1001667.T0	IPR012337__IPR001584__IPR036397	Ribonuclease H-like superfamily__Integrase, catalytic core__Ribonuclease H superfamily	-__GO:0015074__GO:0003676
CopciAB_1001675.T0	IPR001878__IPR005162__IPR036875	Zinc finger, CCHC-type__Retrotransposon gag domain__Zinc finger, CCHC-type superfamily	GO:0003676|GO:0008270__-__GO:0003676|GO:0008270
CopciAB_1001677.T0	IPR005162	Retrotransposon gag domain	-
CopciAB_1001678.T0	IPR032567__IPR005162	LDOC1-related__Retrotransposon gag domain	-__-
CopciAB_1001686.T0	IPR010920__IPR034102__IPR001163__IPR027141__IPR047575	LSM domain superfamily__Small nuclear ribonucleoprotein D1__Sm domain, eukaryotic/archaea-type__Like-Sm (LSM) domain containing protein, LSm4/SmD1/SmD3__Sm domain	-__GO:0000387__-__GO:0006396__GO:0003723
CopciAB_1001695.T0	IPR005162__IPR032567	Retrotransposon gag domain__LDOC1-related	-__-
CopciAB_1001718.T0	IPR001163__IPR034103__IPR044642__IPR047575__IPR010920	Sm domain, eukaryotic/archaea-type__Sm-like protein Lsm8__U6 snRNA-associated Sm-like protein Lsm1/8__Sm domain__LSM domain superfamily	-__GO:0000398|GO:0005688|GO:0046540__-__GO:0003723__-
CopciAB_1001744.T0	IPR023213	Chloramphenicol acetyltransferase-like domain superfamily	-
CopciAB_1001762.T0	IPR003653__IPR038765__IPR040521	Ulp1 protease family, C-terminal catalytic domain__Papain-like cysteine peptidase superfamily__Kyakuja-Dileera-Zisupton transposase	GO:0006508|GO:0008234__-__-
CopciAB_1001765.T0	IPR005162__IPR032567__IPR036875	Retrotransposon gag domain__LDOC1-related__Zinc finger, CCHC-type superfamily	-__-__GO:0003676|GO:0008270
CopciAB_1001766.T0	IPR017956	AT hook, DNA-binding motif	GO:0003677
CopciAB_1001770.T0	IPR017956	AT hook, DNA-binding motif	GO:0003677
CopciAB_1001777.T0	IPR002067__IPR018108__IPR023395	Mitochondrial carrier protein__Mitochondrial substrate/solute carrier__Mitochondrial carrier domain superfamily	GO:0055085__-__-
CopciAB_1001784.T0	IPR027417__IPR011527__IPR003439__IPR036640__IPR003593	P-loop containing nucleoside triphosphate hydrolase__ABC transporter type 1, transmembrane domain__ABC transporter-like, ATP-binding domain__ABC transporter type 1, transmembrane domain superfamily__AAA+ ATPase domain	-__GO:0005524|GO:0016020|GO:0055085|GO:0140359__GO:0005524__GO:0005524|GO:0016020__-
CopciAB_1001790.T0	IPR001810__IPR036047	F-box domain__F-box-like domain superfamily	GO:0005515__GO:0005515
CopciAB_1001791.T0	IPR013922__IPR036915__IPR006671	Cyclin PHO80-like__Cyclin-like superfamily__Cyclin, N-terminal	GO:0000079|GO:0019901__-__-
CopciAB_1001801.T0	IPR011057__IPR006913	Mss4-like superfamily__CENP-V/GFA domain	-__GO:0016846
CopciAB_1001807.T0	IPR013922__IPR036915__IPR006671	Cyclin PHO80-like__Cyclin-like superfamily__Cyclin, N-terminal	GO:0000079|GO:0019901__-__-
CopciAB_1001808.T0	IPR001810__IPR036047	F-box domain__F-box-like domain superfamily	GO:0005515__GO:0005515
CopciAB_1001823.T0	IPR011990	Tetratricopeptide-like helical domain superfamily	GO:0005515
CopciAB_1001828.T0	IPR008758__IPR029058	Peptidase S28__Alpha/Beta hydrolase fold	GO:0006508|GO:0008236__-
CopciAB_1001830.T0	IPR002110__IPR036770	Ankyrin repeat__Ankyrin repeat-containing domain superfamily	GO:0005515__-
CopciAB_1001838.T0	IPR040648	HMG domain-containing protein 3, CxC4 like cysteine cluster	-
CopciAB_1001844.T0	IPR041078	Plavaka transposase	-
CopciAB_1001868.T0	IPR003653__IPR038765__IPR040521	Ulp1 protease family, C-terminal catalytic domain__Papain-like cysteine peptidase superfamily__Kyakuja-Dileera-Zisupton transposase	GO:0006508|GO:0008234__-__-
CopciAB_1001875.T0	IPR021109	Aspartic peptidase domain superfamily	-
CopciAB_1001878.T0	IPR021109	Aspartic peptidase domain superfamily	-
CopciAB_1001886.T0	IPR011990	Tetratricopeptide-like helical domain superfamily	GO:0005515
CopciAB_1001892.T0	IPR006966	Peroxin-3	GO:0005778|GO:0007031
CopciAB_1001900.T0	IPR015943__IPR036322	WD40/YVTN repeat-like-containing domain superfamily__WD40-repeat-containing domain superfamily	GO:0005515__GO:0005515
CopciAB_1001901.T0	IPR021109	Aspartic peptidase domain superfamily	-
CopciAB_1001904.T0	IPR001878__IPR032567__IPR036875__IPR005162	Zinc finger, CCHC-type__LDOC1-related__Zinc finger, CCHC-type superfamily__Retrotransposon gag domain	GO:0003676|GO:0008270__-__GO:0003676|GO:0008270__-
CopciAB_1001909.T0	IPR036322__IPR015943	WD40-repeat-containing domain superfamily__WD40/YVTN repeat-like-containing domain superfamily	GO:0005515__GO:0005515
CopciAB_1001916.T0	IPR001878__IPR005162__IPR036875	Zinc finger, CCHC-type__Retrotransposon gag domain__Zinc finger, CCHC-type superfamily	GO:0003676|GO:0008270__-__GO:0003676|GO:0008270
CopciAB_1001924.T0	IPR001202__IPR036020	WW domain__WW domain superfamily	GO:0005515__GO:0005515
CopciAB_1001929.T0	IPR013103__IPR043502	Reverse transcriptase, RNA-dependent DNA polymerase__DNA/RNA polymerase superfamily	-__-
CopciAB_1001930.T0	IPR036770__IPR002110	Ankyrin repeat-containing domain superfamily__Ankyrin repeat	-__GO:0005515
CopciAB_1001941.T0	IPR032567__IPR005162	LDOC1-related__Retrotransposon gag domain	-__-
CopciAB_1001942.T0	IPR005162	Retrotransposon gag domain	-
CopciAB_1001947.T0	IPR036396__IPR001128__IPR002401	Cytochrome P450 superfamily__Cytochrome P450__Cytochrome P450, E-class, group I	GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037
CopciAB_1001957.T0	IPR040521__IPR041457	Kyakuja-Dileera-Zisupton transposase__CxC2-like cysteine cluster, KDZ transposase-associated	-__-
CopciAB_1001966.T0	IPR006846	Ribosomal protein S30	GO:0003735|GO:0005840|GO:0006412
CopciAB_1001974.T0	IPR001128__IPR036396__IPR017972	Cytochrome P450__Cytochrome P450 superfamily__Cytochrome P450, conserved site	GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0005506|GO:0016705
CopciAB_1001986.T0	IPR036322__IPR001680__IPR015943	WD40-repeat-containing domain superfamily__WD40 repeat__WD40/YVTN repeat-like-containing domain superfamily	GO:0005515__GO:0005515__GO:0005515
CopciAB_1001990.T0	IPR015943__IPR036322	WD40/YVTN repeat-like-containing domain superfamily__WD40-repeat-containing domain superfamily	GO:0005515__GO:0005515
CopciAB_1002000.T0	IPR013785__IPR000891__IPR043594	Aldolase-type TIM barrel__Pyruvate carboxyltransferase__HMG-CoA lyase	-__GO:0003824__GO:0016833
CopciAB_1002001.T0	IPR029058__IPR000073	Alpha/Beta hydrolase fold__Alpha/beta hydrolase fold-1	-__-
CopciAB_1002002.T0	IPR005162__IPR032567	Retrotransposon gag domain__LDOC1-related	-__-
